"date","start_time","end_time","subject","book_range","activity","notes"
"2026/7/6","16:00","17:30","國文","B1","暑訓/複習",""
"2026/7/7","16:00","17:30","英文","B1","暑訓/複習",""
"2026/7/8","16:00","17:30","數學","B1","暑訓/複習",""
"2026/7/9","16:00","17:30","自然","B1","暑訓/複習",""
"2026/7/10","16:00","17:30","社會","B1","暑訓/複習",""
"2026/7/13","16:00","17:30","國文","B2","暑訓/複習",""
"2026/7/14","16:00","17:30","英文","B2","暑訓/複習",""
"2026/7/15","16:00","17:30","數學","B2","暑訓/複習",""
"2026/7/16","16:00","17:30","自然","B2","暑訓/複習","原進度表誤標為 B3，2026-07-09 依使用者確認更正為 B2"
"2026/7/17","16:00","17:30","社會","B2","暑訓/複習",""
"2026/8/3","16:00","17:30","國文","B3","暑訓/複習",""
"2026/8/4","16:00","17:30","英文","B3","暑訓/複習",""
"2026/8/5","16:00","17:30","數學","B3","暑訓/複習",""
"2026/8/6","16:00","17:30","自然","B2","暑訓/複習",""
"2026/8/7","16:00","17:30","社會","B3","暑訓/複習",""
"2026/8/10","16:00","17:30","國文","B4","暑訓/複習",""
"2026/8/11","16:00","17:30","英文","B4","暑訓/複習",""
"2026/8/12","16:00","17:30","數學","B4","暑訓/複習",""
"2026/8/13","16:00","17:30","自然","B4","暑訓/複習",""
"2026/8/14","16:00","17:30","社會","B4","暑訓/複習",""
