date_start,date_end,type,title,notes,pinned
2026/6/19,2026/6/19,停課,端午節停課,國定假日，補習班不上課,
2026/6/24,2026/6/24,停課,段考停課日（晚上開放留讀 18:00–20:00）,段考停課日；開放自修教室並安排輔導老師，留讀採自由參加,
2026/6/25,2026/6/25,停課,段考停課日（晚上開放留讀 18:00–20:00）,段考停課日；開放自修教室並安排輔導老師，留讀採自由參加,
2026/7/19,2026/7/26,停課,小暑假（補習班不開放）,,
2026/7/27,2026/7/31,備註,下午無暑訓，晚上課程正常進行,,
2026/9/25,2026/9/25,備註,中秋節,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
2026/9/28,2026/9/28,備註,教師節,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
2026/10/9,2026/10/10,備註,國慶連假,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
2026/10/26,2026/10/26,備註,光復節補假,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
2026/12/25,2026/12/25,備註,行憲紀念日,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
2027/1/1,2027/1/1,備註,元旦,國定假日；確認停課請把 type 改回『停課』，照常上課請刪除此列,
