date,start_time,end_time,subject,book_range,activity,notes
2026-07-06,16:00,17:30,國文,B1,暑期自修/複習,
2026-07-07,16:00,17:30,英文,B1,暑期自修/複習,
2026-07-08,16:00,17:30,數學,B1,暑期自修/複習,
2026-07-09,16:00,17:30,自然,B1,暑期自修/複習,
2026-07-10,16:00,17:30,社會,B1,暑期自修/複習,
2026-07-13,16:00,17:30,國文,B2,暑期自修/複習,
2026-07-14,16:00,17:30,英文,B2,暑期自修/複習,
2026-07-15,16:00,17:30,數學,B2,暑期自修/複習,
2026-07-16,16:00,17:30,自然,B3,暑期自修/複習,進度表上自然標示為 B3
2026-07-17,16:00,17:30,社會,B2,暑期自修/複習,
2026-08-03,16:00,17:30,國文,B3,暑期自修/複習,
2026-08-04,16:00,17:30,英文,B3,暑期自修/複習,
2026-08-05,16:00,17:30,數學,B3,暑期自修/複習,
2026-08-06,16:00,17:30,自然,B2,暑期自修/複習,
2026-08-07,16:00,17:30,社會,B3,暑期自修/複習,
2026-08-10,16:00,17:30,國文,B4,暑期自修/複習,
2026-08-11,16:00,17:30,英文,B4,暑期自修/複習,
2026-08-12,16:00,17:30,數學,B4,暑期自修/複習,
2026-08-13,16:00,17:30,自然,B4,暑期自修/複習,
2026-08-14,16:00,17:30,社會,B4,暑期自修/複習,
