record_id,source_file,review_book_name,subject,variant,round_no,round_label,book_range,unit_code,chapter_or_scope,scope_detail,record_type,confidence,notes
review_001,IMG_3277.jpg,理化全乙,理化,乙,1,第1回,3~4冊,單元1,基本測量與科學方法,,unit,high,
review_002,IMG_3277.jpg,理化全乙,理化,乙,2,第2回,3~4冊,單元2,物質與能,,unit,high,
review_003,IMG_3277.jpg,理化全乙,理化,乙,3,第3回,3~4冊,單元3,波動與聲音,,unit,high,
review_004,IMG_3277.jpg,理化全乙,理化,乙,4,第4回,3~4冊,單元4,光,,unit,high,
review_005,IMG_3277.jpg,理化全乙,理化,乙,5,第5回,3~4冊,單元5,溫度與熱,,unit,high,
review_006,IMG_3277.jpg,理化全乙,理化,乙,6,第6回,3~4冊,單元6,原子與分子的反應世界,,unit,high,
review_007,IMG_3277.jpg,理化全乙,理化,乙,7,第7回,3~4冊,單元7,化學計量、化學反應、氧化還原,,unit,high,
review_008,IMG_3277.jpg,理化全乙,理化,乙,8,第8回,3~4冊,單元8,酸鹼鹽,,unit,high,
review_009,IMG_3277.jpg,理化全乙,理化,乙,9,第9回,3~4冊,單元9,反應速率與反應平衡,,unit,high,
review_010,IMG_3277.jpg,理化全乙,理化,乙,10,第10回,3~4冊,單元10,有機化合物,,unit,high,
review_011,IMG_3277.jpg,理化全乙,理化,乙,11,第11回,3~4冊,單元11,力與壓力,,unit,high,
review_012,IMG_3277.jpg,理化全乙,理化,乙,12,第12回,5~6冊,單元12,直線運動,,unit,high,
review_013,IMG_3277.jpg,理化全乙,理化,乙,13,第13回,5~6冊,單元13,力與運動,,unit,high,
review_014,IMG_3277.jpg,理化全乙,理化,乙,14,第14回,5~6冊,單元14,功與能,,unit,high,
review_015,IMG_3277.jpg,理化全乙,理化,乙,15,第15回,5~6冊,單元15,電,,unit,high,
review_016,IMG_3277.jpg,理化全乙,理化,乙,16,第16回,5~6冊,單元16,電與生活,,unit,high,
review_017,IMG_3277.jpg,理化全乙,理化,乙,17,第17回,5~6冊,單元17,電化學與電池,,unit,high,
review_018,IMG_3277.jpg,理化全乙,理化,乙,18,第18回,5~6冊,單元18,磁,,unit,high,
review_019,IMG_3278.jpg,生物全乙,生物,乙,1,第1回,生物全,單元1,科學方法與生命的組成,,unit,high,封面未標示冊別；以「生物全」保留。
review_020,IMG_3278.jpg,生物全乙,生物,乙,2,第2回,生物全,單元2,養分,,unit,high,封面未標示冊別；以「生物全」保留。
review_021,IMG_3278.jpg,生物全乙,生物,乙,3,第3回,生物全,單元3,運輸與防禦,,unit,high,封面未標示冊別；以「生物全」保留。
review_022,IMG_3278.jpg,生物全乙,生物,乙,4,第4回,生物全,單元4,協調作用,,unit,high,封面未標示冊別；以「生物全」保留。
review_023,IMG_3278.jpg,生物全乙,生物,乙,5,第5回,生物全,單元5,恆定,,unit,high,封面未標示冊別；以「生物全」保留。
review_024,IMG_3278.jpg,生物全乙,生物,乙,6,第6回,生物全,單元6,生殖,,unit,high,封面未標示冊別；以「生物全」保留。
review_025,IMG_3278.jpg,生物全乙,生物,乙,7,第7回,生物全,單元7,遺傳,,unit,high,封面未標示冊別；以「生物全」保留。
review_026,IMG_3278.jpg,生物全乙,生物,乙,8,第8回,生物全,單元8,演化與分類,,unit,high,封面未標示冊別；以「生物全」保留。
review_027,IMG_3278.jpg,生物全乙,生物,乙,9,第9回,生物全,單元9,生態系與環境保護,,unit,high,封面未標示冊別；以「生物全」保留。
review_028,IMG_3278.jpg,生物全乙,生物,乙,10,第10回,生物全,,模擬試題,,mock,high,封面未標示冊別；以「生物全」保留。
review_029,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,1,第1回,1~4冊,第1單元,整數的四則運算,,unit,high,
review_030,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,2,第2回,1~4冊,第2單元,分數的四則運算,,unit,high,
review_031,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,3,第3回,1~4冊,第3單元,一元一次方程式,,unit,high,
review_032,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,4,第4回,1~4冊,第4單元,二元一次聯立方程式,,unit,high,
review_033,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,5,第5回,1~4冊,第5單元,二元一次方程式的圖形,,unit,high,
review_034,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,6,第6回,1~4冊,第6~7單元,比與比例式；一元一次不等式,,unit,high,
review_035,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,7,第7回,1~4冊,第8~9單元,線對稱與三視圖；統計圖表與統計量,,unit,high,
review_036,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,8,第8回,1~2冊,,第一～二冊複習,,book_review,high,
review_037,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,9,第9回,1~4冊,第10單元,乘法公式與多項式,,unit,high,
review_038,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,10,第10回,1~4冊,第11單元,平方根與畢氏定理,,unit,high,
review_039,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,11,第11回,1~4冊,第12單元,因式分解與一元二次方程式,,unit,high,
review_040,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,12,第12回,1~4冊,第13單元,數列與等差級數,,unit,high,
review_041,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,13,第13回,1~4冊,第14單元,函數,,unit,high,
review_042,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,14,第14回,1~4冊,第15單元,三角形的基本性質與尺規作圖,,unit,high,
review_043,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,15,第15回,1~4冊,第16單元,平行與四邊形,,unit,high,
review_044,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,16,第16回,1~4冊,,第一～四冊複習,,book_review,high,
review_045,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,17,第17回,5~6冊,第17單元,連比例與相似形,,unit,high,
review_046,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,18,第18回,5~6冊,第18單元,圓,,unit,high,
review_047,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,19,第19回,5~6冊,第19單元,推理證明與三角形的心,,unit,high,
review_048,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,20,第20回,1~5冊,,第一～五冊複習,,book_review,high,
review_049,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,21,第21回,5~6冊,第20單元,二次函數,,unit,high,
review_050,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,22,第22回,5~6冊,第21單元,統計與機率,,unit,high,
review_051,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,23,第23回,5~6冊,第22單元,立體圖形,,unit,high,
review_052,IMG_3279.jpg,數學全 講義複習卷綜合版,數學,,24,第24回,1~6冊,,第一～六冊複習,,book_review,high,
review_053,IMG_3280.jpg,歷史全,歷史,,1,第1回,第一冊,單元1,早期臺灣與大航海時代,史前臺灣與原住民／大航海時代的東亞／荷西在臺競逐／鄭氏勢力發展／原住民與外來者互動,unit,high,
review_054,IMG_3280.jpg,歷史全,歷史,,2,第2回,第一冊,單元2,清帝國治臺時期,清帝國的治臺政策／農、商業發展／漢人與原住民的社會文化發展,unit,high,
review_055,IMG_3280.jpg,歷史全,歷史,,3,第3回,第一冊,,第一冊複習,第一冊(全),book_review,high,
review_056,IMG_3280.jpg,歷史全,歷史,,4,第4回,第二冊,單元3,日本治臺時期,日本的殖民體制／經濟發展／現代教育／政治社會運動／社會文化變遷,unit,high,
review_057,IMG_3280.jpg,歷史全,歷史,,5,第5回,第二冊,單元4,戰後臺灣,二二八事件與戒嚴體制／政治民主化歷程／對外關係／經濟發展／社會文化演變,unit,high,
review_058,IMG_3280.jpg,歷史全,歷史,,6,第6回,第二冊,,第二冊複習,第二冊(全),book_review,high,
review_059,IMG_3280.jpg,歷史全,歷史,,7,第7回,第三冊,單元5,商周至明清,商周至隋唐的國家社會與民族文化／多民族並立的宋元時期／明清時期的東亞世界,unit,high,
review_060,IMG_3280.jpg,歷史全,歷史,,8,第8回,第三冊,單元7,晚清的變革與社會變遷,西力對東亞的衝擊與回應／甲午戰爭後的政治變革／晚清的社會變遷,unit,medium,單元編號依照片可見文字記錄，待核對。
review_061,IMG_3280.jpg,歷史全,歷史,,9,第9回,第三冊,,第三冊複習,第三冊(全),book_review,high,
review_062,IMG_3280.jpg,歷史全,歷史,,10,第10回,第四冊,單元8,中華民國的建立與發展,中華民國建立與早期發展／舊傳統與新思潮／國民政府的統治／日本擴張與中日戰爭,unit,high,
review_063,IMG_3280.jpg,歷史全,歷史,,11,第11回,第四冊,單元9,共產中國與東亞局勢,中華人民共和國建立／大躍進與文化大革命／改革開放／冷戰時期的東亞／東南亞國際組織,unit,high,
review_064,IMG_3280.jpg,歷史全,歷史,,12,第12回,第四冊,,第四冊複習,第四冊(全),book_review,high,
review_065,IMG_3280.jpg,歷史全,歷史,,13,第13回,第五冊,單元10,亞非古文明與古典歐洲,西亞古文明／埃及古文明／希臘古文化／羅馬古文化,unit,high,
review_066,IMG_3280.jpg,歷史全,歷史,,14,第14回,第五冊,單元11,普世宗教與近代歐洲興起,佛教的形成與傳播／基督教的起源與傳布／伊斯蘭勢力擴張／文藝復興／宗教改革,unit,high,
