version_name,effective_from,effective_to,weekday,start_time,end_time,subject,activity
既有課表,2026-06-26,,一,18:00,19:30,理化,正課
既有課表,2026-06-26,,一,19:30,20:30,,測驗及輔導
既有課表,2026-06-26,,二,18:00,19:30,英文,正課
既有課表,2026-06-26,,二,19:30,20:30,,測驗及輔導
既有課表,2026-06-26,,三,18:00,19:30,國文,正課
既有課表,2026-06-26,,三,19:30,21:10,數學,輔測
既有課表,2026-06-26,,四,18:00,19:30,理化,正課
既有課表,2026-06-26,,四,19:30,20:30,,測驗及輔導
既有課表,2026-06-26,,五,18:00,19:30,英文,正課
既有課表,2026-06-26,,五,19:30,20:30,,測驗及輔導
既有課表,2026-06-26,,六,09:30,11:00,,國社輔測
既有課表,2026-06-26,,六,11:00,12:30,社會,正課
既有課表,2026-06-26,,六,12:30,13:30,,休息
既有課表,2026-06-26,,六,13:30,16:30,數學,正課
