date,subject,range,round_no,round_label,paper_provider,official_date,notes
2026-08-10,國文,B1~B2,1,第一回,南一,2026-08-16,含寫作測驗
2026-08-11,英文,B1~B2,1,第一回,南一,2026-08-16,含英語聽力
2026-08-12,數學,B1~B2,1,第一回,南一,2026-08-16,含數學非選
2026-08-13,自然,B1~B3,1,第一回,南一,2026-08-16,
2026-08-14,社會,B1~B2,1,第一回,南一,2026-08-16,
2026-10-19,國文,B1~B3,2,第二回,漢華,2026-10-25,
2026-10-20,英文,B1~B3,2,第二回,漢華,2026-10-25,
2026-10-21,數學,B1~B3,2,第二回,漢華,2026-10-25,
2026-10-22,自然,B1~B3,2,第二回,漢華,2026-10-25,
2026-10-23,社會,B1~B3,2,第二回,漢華,2026-10-25,
2026-11-30,國文,B1~B4,3,第三回,南一,2026-12-06,
2026-12-01,英文,B1~B4,3,第三回,南一,2026-12-06,
2026-12-02,數學,B1~B4,3,第三回,南一,2026-12-06,
2026-12-03,自然,B1~B4,3,第三回,南一,2026-12-06,
2026-12-04,社會,B1~B4,3,第三回,南一,2026-12-06,
2027-01-18,國文,B1~B5,4,第四回,漢華,2027-01-24,第一學期末／寒假交界，確切日期屆時再確認
2027-01-19,英文,B1~B5,4,第四回,漢華,2027-01-24,
2027-01-20,數學,B1~B5,4,第四回,漢華,2027-01-24,
2027-01-21,自然,B1~B5,4,第四回,漢華,2027-01-24,
2027-01-22,社會,B1~B5,4,第四回,漢華,2027-01-24,
2027-03-01,國文,B1~B5,5,第五回,漢華,2027-03-07,
2027-03-02,英文,B1~B5,5,第五回,漢華,2027-03-07,
2027-03-03,數學,B1~B5,5,第五回,漢華,2027-03-07,
2027-03-04,自然,B1~B5,5,第五回,漢華,2027-03-07,
2027-03-05,社會,B1~B5,5,第五回,漢華,2027-03-07,
2027-04-05,國文,B1~B6,6,第六回,南一,2027-04-11,4/5 適逢清明節，若停課需改期
2027-04-06,英文,B1~B6,6,第六回,南一,2027-04-11,
2027-04-07,數學,B1~B6,6,第六回,南一,2027-04-11,
2027-04-08,自然,B1~B6,6,第六回,南一,2027-04-11,
2027-04-09,社會,B1~B6,6,第六回,南一,2027-04-11,
